,brand,model,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,is_exchangeable,number_of_photos,views,duration_listed_days,price_eur,engine_type_automatic,engine_type_manual,engine_fuel_gasoline,engine_fuel_diesel,engine_fuel_petrol,engine_fuel_hybrid-petrol,engine_fuel_hybrid-diesel
51,Subaru,Legacy,mechanical,green,0.7233555441086035,-0.7471254193754233,gasoline,0,gasoline,0.19900019021869417,universal,0,owned,all,0,0.18470125601781515,0.23917469939711228,-0.23730907030635703,-0.7985033219861656,0,0,1,0,0,0,0
52,Subaru,Legacy,mechanical,other,0.09303777678765529,0.1663531173017469,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,-0.14380336073029554,0.12528235517042188,-0.1660584188934505,-0.32078146510988503,0,0,1,0,0,0,0
53,Subaru,Forester,mechanical,black,0.18074148315910168,-0.6166284855643991,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.9650649026005722,-0.30750855289100165,-0.6826256416370231,-0.7029270918675367,0,0,1,0,0,0,0
54,Subaru,Forester,mechanical,green,0.5315563086448873,-0.6166284855643991,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,0,-0.6365602858524616,-0.12528080212829704,-0.5312180073845967,-0.830362065359042,0,0,1,0,0,0,0
55,Subaru,Forester,automatic,red,1.0406500130192222,-0.6166284855643991,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,0.6774581811399811,1.4464335482000306,1.6063015350026002,-0.8144326936726037,0,0,1,0,0,0,0
56,Subaru,Forester,mechanical,blue,0.4964748260963087,-0.09464075032030174,gas,1,gasoline,-0.0955241074541198,universal,0,owned,all,0,-0.4723079774784062,-0.23917314635498743,-0.6291876530773431,-0.12150502531254362,0,0,1,0,0,0,0
64,Subaru,Justy,mechanical,red,-1.3979252315269335,-1.5301070222415694,gasoline,0,gasoline,-1.2736212981453747,hatchback,0,owned,all,1,-0.4723079774784062,-0.07972386443762086,-0.5223116759579833,-0.7666445786132893,0,0,1,0,0,0,0
66,Subaru,Outback,automatic,black,-2.097862200965536,0.8188377863568685,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,1.0059627978880918,-0.2847300840456636,-0.6291876530773431,0.4599170412424494,0,0,1,0,0,0,0
69,Subaru,Impreza,mechanical,red,1.0884748441035719,-1.2691131546195207,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,front,0,-0.30805566910435084,2.0614522070241588,2.577091660503452,-0.8781501804183565,0,0,1,0,0,0,0
71,Subaru,XV,automatic,grey,-1.3277622664297763,1.340825521600966,gasoline,0,gasoline,-0.0955241074541198,suv,1,owned,all,1,0.8417104895140365,-0.3530654905816778,-0.7004383044902497,0.9616922493652517,0,0,1,0,0,0,0
72,Subaru,Forester,automatic,black,-0.9769474409439909,1.0798316539789172,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,0,0.5132058727659258,0.011390010943731467,-0.30855972171926366,1.366298290200781,0,0,1,0,0,0,0
73,Subaru,Outback,automatic,blue,-0.5471992797239035,0.8188377863568685,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,0.18470125601781515,0.421402450159817,0.19910116959769567,1.0493037936406615,0,0,1,0,0,0,0
75,Subaru,Forester,mechanical,grey,-0.582280762272482,0.1663531173017469,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,0,0.0204489476437598,0.14806082401575996,-0.1749647503200638,0.09354149245437163,0,0,1,0,0,0,0
76,Subaru,Forester,automatic,blue,0.3561488959019945,0.03585618349072258,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,0,0.3489535643918705,-0.2619516152003255,-0.20168374459990376,-0.3365515430794589,0,0,1,0,0,0,0
79,Subaru,Legacy,mechanical,green,1.8471119042165833,-1.008119286997472,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,all,1,0.8417104895140365,-0.3530654905816778,-0.6915319730636365,-0.8781501804183565,0,0,1,0,0,0,0
85,Subaru,Outback,mechanical,violet,0.9963859524135532,-0.4861315517533747,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,1.4987197230102578,-0.30750855289100165,-0.6202813216507298,-0.4241630873548688,0,0,1,0,0,0,0
88,Subaru,Impreza,mechanical,red,-0.08236963595523751,-0.09464075032030174,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,all,1,-0.6365602858524616,-0.2619516152003255,-0.4065293674120102,0.013894634022180791,0,0,1,0,0,0,0
90,Subaru,Tribeca,automatic,yellow,0.34737852526484986,0.55784391873482,gasoline,0,gasoline,2.26067027392839,suv,0,emergency,all,0,-0.4723079774784062,0.3986239813144789,-0.07699510462731728,-0.24097531296082988,0,0,1,0,0,0,0
93,Subaru,Outback,automatic,silver,-0.6962955805553623,0.9493347201678929,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,1,-0.800812594226517,-0.17083773981897318,-0.0859014360539306,1.6068318026659973,0,0,1,0,0,0,0
94,Subaru,Forester,mechanical,black,-0.1876140836009732,-0.8776223531864477,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,1,1.991476648132424,-0.1480592709736351,0.07441252962510916,-0.5038099457870595,0,0,1,0,0,0,0
95,Subaru,Forester,automatic,silver,0.29991327937662304,0.29685005111277124,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,-0.4723079774784062,-0.10250233328295895,-0.04136977892086399,-0.14539908284220088,0,0,1,0,0,0,0
97,Subaru,Impreza,automatic,black,-0.2987522203148701,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,hatchback,0,owned,all,1,0.6774581811399811,0.011390010943731467,-0.4065293674120102,-0.06591151812687435,0,0,1,0,0,0,0
98,Subaru,Outback,automatic,blue,1.0018586636911315,-0.35563461794235035,gasoline,0,gasoline,1.3770973809099487,universal,0,owned,all,1,-0.14380336073029554,0.05694694863440763,-0.38871670455878354,-0.26486937049048714,0,0,1,0,0,0,0
99,Subaru,Justy,mechanical,silver,-0.6085918741839159,0.55784391873482,gasoline,0,gasoline,-1.5681455958181885,minivan,0,owned,front,1,-0.800812594226517,-0.2619516152003255,1.1253596379654809,-0.2729933500505705,0,0,1,0,0,0,0
108,Subaru,Legacy,mechanical,silver,-0.4763785368289605,-0.09464075032030174,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,0.0204489476437598,0.011390010943731467,-0.21059007602651708,0.013894634022180791,0,0,1,0,0,0,0
111,Subaru,Legacy,automatic,red,-0.758670456526735,0.6883408525458442,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,-1.1293172109746275,-0.19361620866431128,0.06550619819849585,0.6510695014797074,0,0,1,0,0,0,0
115,Subaru,Forester,mechanical,blue,-1.6902329144923274,1.7323163230340388,gasoline,0,gasoline,0.6407866367279145,suv,0,emergency,all,0,-0.14380336073029554,-0.2847300840456636,-0.6291876530773431,0.29903038720942393,0,0,1,0,0,0,0
118,Subaru,Justy,mechanical,black,-0.7839992869268088,0.8188377863568685,gasoline,0,gasoline,-1.5681455958181885,hatchback,0,owned,front,1,0.18470125601781515,0.8997502959119167,1.4994255578832403,-0.3365515430794589,0,0,1,0,0,0,0
122,Subaru,Justy,mechanical,silver,-1.254354264196876,0.6883408525458442,gasoline,0,gasoline,-1.5681455958181885,hatchback,0,owned,front,0,-0.6365602858524616,-0.0341669267469447,0.7602000494743348,-0.2250459412743917,0,0,1,0,0,0,0
125,Subaru,WRX,automatic,white,-1.4900141232169524,1.340825521600966,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,0.18470125601781515,0.8541933582212405,0.15456951246462905,2.8652521658946126,0,0,1,0,0,0,0
126,Subaru,Outback,automatic,white,-0.02097704149522504,0.03585618349072258,gasoline,0,gasoline,1.3770973809099487,universal,0,owned,all,0,1.6629720313843133,0.5352947943865073,0.0833188610517225,-0.12150502531254362,0,0,1,0,0,0,0
127,Subaru,Forester,automatic,silver,0.4415723059077833,-0.35563461794235035,gas,1,gasoline,0.6407866367279145,universal,0,owned,all,1,-1.1293172109746275,-0.07972386443762086,-0.21059007602651708,-0.43212777319808787,0,0,1,0,0,0,0
128,Subaru,Legacy,automatic,silver,-0.6612140980067838,-0.35563461794235035,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,0.3489535643918705,-0.3530654905816778,-0.6470003159305698,-0.5117746316302786,0,0,1,0,0,0,0
130,Subaru,XV,automatic,grey,-1.266369671969764,1.0798316539789172,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,1,1.3344674146362026,0.07972541747974571,-0.38871670455878354,0.9694976414916064,0,0,1,0,0,0,0
131,Subaru,Impreza,automatic,grey,-1.266369671969764,1.0798316539789172,gasoline,0,gasoline,-0.0955241074541198,hatchback,0,owned,all,1,1.3344674146362026,0.19361776170643613,-0.31746605314587695,0.9694976414916064,0,0,1,0,0,0,0
133,Subaru,Legacy,mechanical,black,-0.12622148914096074,0.29685005111277124,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,0.5132058727659258,-0.19361620866431128,-0.2551217331595837,-0.01796410935069554,0,0,1,0,0,0,0
137,Subaru,Forester,automatic,white,0.5315563086448873,-0.7471254193754233,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,1.4987197230102578,-0.1480592709736351,-0.19277741317329045,-0.30628573687522637,0,0,1,0,0,0,0
138,Subaru,Legacy,automatic,silver,0.2716902266662916,0.29685005111277124,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,-0.30805566910435084,0.37584551246914083,-0.07699510462731728,0.013894634022180791,0,0,1,0,0,0,0
141,Subaru,Legacy,automatic,blue,0.9700748405021193,0.03585618349072258,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,0.0204489476437598,-0.21639467750964936,-0.12152676176038388,-0.38433965813877335,0,0,1,0,0,0,0
145,Subaru,Legacy,mechanical,other,0.912576290604999,-1.008119286997472,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,front,1,-1.293569519348683,-0.1480592709736351,-0.24621540173297035,-0.8144326936726037,0,0,1,0,0,0,0
146,Subaru,Legacy,mechanical,green,-0.24023630742384106,-1.2691131546195207,gasoline,0,gasoline,0.19900019021869417,universal,0,owned,all,0,0.5132058727659258,-0.19361620866431128,0.0833188610517225,-0.7825739502997274,0,0,1,0,0,0,0
147,Subaru,Outback,automatic,other,-1.6610363506412729,0.6883408525458442,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,1,-0.14380336073029554,-0.2619516152003255,-0.023557116067637354,1.1767387671321667,0,0,1,0,0,0,0
